
2024/06/04 (19:52:33) | ===> btop++ v.1.3.2
2024/06/04 (19:52:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/05 (16:26:18) | ===> btop++ v.1.3.2
2024/06/05 (16:26:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/05 (16:39:10) | ===> btop++ v.1.3.2
2024/06/05 (16:39:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/05 (20:28:02) | ===> btop++ v.1.3.2
2024/06/05 (20:28:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/05 (20:28:23) | ===> btop++ v.1.3.2
2024/06/05 (20:28:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/06 (14:02:30) | ===> btop++ v.1.3.2
2024/06/06 (14:02:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/06 (14:23:54) | ===> btop++ v.1.3.2
2024/06/06 (14:23:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/06 (21:26:38) | ===> btop++ v.1.3.2
2024/06/06 (21:26:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/07 (14:39:44) | ===> btop++ v.1.3.2
2024/06/07 (14:39:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/07 (18:34:40) | ===> btop++ v.1.3.2
2024/06/07 (18:34:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/13 (15:46:34) | ===> btop++ v.1.3.2
2024/06/13 (15:46:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/17 (13:02:09) | ===> btop++ v.1.3.2
2024/06/17 (13:02:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
